City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,xining,36.6167,101.7667,50.83,83,94,3.4,CN,2023-05-28 18:59:00
70,arraial do cabo,-22.9661,-42.0278,71.46,94,0,6.91,BR,2023-05-28 18:59:00
71,feijo,-8.1642,-70.3536,75.7,92,38,1.54,BR,2023-05-28 18:59:01
72,kupang,-10.1667,123.5833,75.78,83,20,9.22,ID,2023-05-28 18:59:01
73,walvis bay,-22.9575,14.5053,55.09,87,100,5.75,NA,2023-05-28 18:59:01
74,nova sintra,14.8667,-24.7167,69.3,84,58,21.41,CV,2023-05-28 18:59:01
75,yellowknife,62.456,-114.3525,66.72,34,20,18.41,CA,2023-05-28 18:58:19
76,oroqen zizhiqi,50.5667,123.7167,56.43,44,36,2.01,CN,2023-05-28 18:59:02
77,wuhai,39.6647,106.8122,70.32,20,100,12.77,CN,2023-05-28 18:59:02
78,kirensk,57.7853,108.1119,48.9,82,99,1.36,RU,2023-05-28 18:59:02
79,olonkinbyen,70.9221,-8.7187,33.46,98,100,3.47,SJ,2023-05-28 18:58:24
80,santa elena de uairen,4.6167,-61.1333,68.63,93,99,0.98,VE,2023-05-28 18:59:03
81,mumford,5.2618,-0.759,80.19,84,51,6.62,GH,2023-05-28 18:59:03
82,nagqu,31.5,92.0,33.78,91,92,6.6,CN,2023-05-28 18:59:03
83,petropavlovsk-kamchatsky,53.0452,158.6483,48.79,71,75,6.71,RU,2023-05-28 18:59:04
84,poxoreo,-15.8372,-54.3892,80.58,43,65,1.66,BR,2023-05-28 18:59:04
85,kill devil hills,36.0307,-75.676,78.8,90,0,9.22,US,2023-05-28 18:55:11
86,maralal,1.0968,36.698,55.81,91,58,6.35,KE,2023-05-28 18:59:04
87,edinburgh of the seven seas,-37.0676,-12.3116,61.36,77,96,26.24,SH,2023-05-28 18:59:05
88,kavaratti,10.5669,72.642,85.69,72,94,13.38,IN,2023-05-28 18:59:05
89,atafu village,-8.5421,-172.5159,83.57,77,75,15.82,TK,2023-05-28 18:59:05
90,ilulissat,69.2167,-51.1,20.95,80,44,4.47,GL,2023-05-28 18:58:24
91,bahadurgarh,28.6833,76.9167,73.51,55,100,7.02,IN,2023-05-28 18:59:06
92,rio preto da eva,-2.6994,-59.6997,77.43,90,99,1.48,BR,2023-05-28 18:59:06
93,lubumbashi,-11.6609,27.4794,56.59,62,60,4.65,CD,2023-05-28 18:59:06
94,iqaluit,63.7506,-68.5145,29.93,63,75,5.75,CA,2023-05-28 18:59:07
95,nema,57.5067,50.5011,54.27,97,57,5.06,RU,2023-05-28 18:59:07
96,labrador city,52.9463,-66.9114,35.51,75,100,17.27,CA,2023-05-28 18:59:07
97,touros,-5.1989,-35.4608,79.21,83,93,11.9,BR,2023-05-28 18:59:08
98,chibougamau,49.9168,-74.3659,62.22,34,0,11.5,CA,2023-05-28 18:59:08
99,papatowai,-46.5619,169.4708,55.62,70,100,7.52,NZ,2023-05-28 18:59:08
100,swakopmund,-22.6833,14.5333,54.99,82,98,1.99,NA,2023-05-28 18:59:09
